entrez-gene-symbol	disease_name
KIF2A	Paediatric disorders
KIF5A	Paediatric disorders
KIF5C	Paediatric disorders
KIF7	Paediatric disorders
KIT	Paediatric disorders
KLF1	Paediatric disorders
KLHL40	Paediatric disorders
KLHL7	Paediatric disorders
KMT2A	Paediatric disorders
KMT2C	Paediatric disorders
KMT2D	Paediatric disorders
KMT2E	Paediatric disorders
KMT5B	Paediatric disorders
KNL1	Paediatric disorders
KPTN	Paediatric disorders
KRAS	Paediatric disorders
KRIT1	Paediatric disorders
KYNU	Paediatric disorders
L1CAM	Paediatric disorders
L2HGDH	Paediatric disorders
LAMA1	Paediatric disorders
LAMA2	Paediatric disorders
LAMB1	Paediatric disorders
LAMC3	Paediatric disorders
LAMP2	Paediatric disorders
LARGE1	Paediatric disorders
LARP7	Paediatric disorders
LARS	Paediatric disorders
LARS2	Paediatric disorders
LBR	Paediatric disorders
LCAT	Paediatric disorders
LCT	Paediatric disorders
LDB3	Paediatric disorders
LDHA	Paediatric disorders
LDLR	Paediatric disorders
LDLRAP1	Paediatric disorders
LEMD3	Paediatric disorders
LFNG	Paediatric disorders
LGI4	Paediatric disorders
LHX3	Paediatric disorders
LHX4	Paediatric disorders
LIAS	Paediatric disorders
LIFR	Paediatric disorders
LIG4	Paediatric disorders
LINS1	Paediatric disorders
LIPA	Paediatric disorders
LIPT1	Paediatric disorders
LIPT2	Paediatric disorders
LMBR1	Paediatric disorders
LMBRD1	Paediatric disorders
LMNA	Paediatric disorders
LMX1B	Paediatric disorders
LONP1	Paediatric disorders
LPIN1	Paediatric disorders
LPIN2	Paediatric disorders
LPL	Paediatric disorders
LRP2	Paediatric disorders
LRP4	Paediatric disorders
LRP5	Paediatric disorders
LRPPRC	Paediatric disorders
LRRC6	Paediatric disorders
LTBP2	Paediatric disorders
LTBP3	Paediatric disorders
LYRM7	Paediatric disorders
LYST	Paediatric disorders
LZTFL1	Paediatric disorders
LZTR1	Paediatric disorders
MAB21L1	Paediatric disorders
MAB21L2	Paediatric disorders
MACF1	Paediatric disorders
MAF	Paediatric disorders
MAFB	Paediatric disorders
MAGEL2	Paediatric disorders
MAGT1	Paediatric disorders
MAN1B1	Paediatric disorders
MAN2B1	Paediatric disorders
MANBA	Paediatric disorders
MAOA	Paediatric disorders
MAP2K1	Paediatric disorders
MAP2K2	Paediatric disorders
MAP3K1	Paediatric disorders
MAP3K7	Paediatric disorders
MAPK8IP3	Paediatric disorders
MAPKBP1	Paediatric disorders
MAPRE2	Paediatric disorders
MARS2	Paediatric disorders
MASP1	Paediatric disorders
MAST1	Paediatric disorders
MAT1A	Paediatric disorders
MATN3	Paediatric disorders
MBD5	Paediatric disorders
MBOAT7	Paediatric disorders
MBTPS2	Paediatric disorders
MC2R	Paediatric disorders
MCCC1	Paediatric disorders
MCCC2	Paediatric disorders
MCEE	Paediatric disorders
MCM3AP	Paediatric disorders
MCOLN1	Paediatric disorders
MCPH1	Paediatric disorders
MDH2	Paediatric disorders
MECP2	Paediatric disorders
MECR	Paediatric disorders
MED12	Paediatric disorders
MED13L	Paediatric disorders
MED17	Paediatric disorders
MED23	Paediatric disorders
MED25	Paediatric disorders
MEF2C	Paediatric disorders
MEGF10	Paediatric disorders
MEGF8	Paediatric disorders
MEIS2	Paediatric disorders
MEOX1	Paediatric disorders
MESP2	Paediatric disorders
METTL23	Paediatric disorders
MFF	Paediatric disorders
MFN2	Paediatric disorders
MFRP	Paediatric disorders
MFSD2A	Paediatric disorders
MFSD8	Paediatric disorders
MGAT2	Paediatric disorders
MGME1	Paediatric disorders
MGP	Paediatric disorders
MICU1	Paediatric disorders
MID1	Paediatric disorders
MIPEP	Paediatric disorders
MITF	Paediatric disorders
MKKS	Paediatric disorders
MKS1	Paediatric disorders
MLC1	Paediatric disorders
MLYCD	Paediatric disorders
MMAA	Paediatric disorders
MMAB	Paediatric disorders
MMACHC	Paediatric disorders
MMADHC	Paediatric disorders
MMP13	Paediatric disorders
MMP2	Paediatric disorders
MMP21	Paediatric disorders
MNX1	Paediatric disorders
MOCS1	Paediatric disorders
MOCS2	Paediatric disorders
MOGS	Paediatric disorders
MPC1	Paediatric disorders
MPDU1	Paediatric disorders
MPI	Paediatric disorders
MPLKIP	Paediatric disorders
MPV17	Paediatric disorders
MRE11	Paediatric disorders
MRPL3	Paediatric disorders
MRPL44	Paediatric disorders
MRPS2	Paediatric disorders
MRPS22	Paediatric disorders
MRPS34	Paediatric disorders
MSL3	Paediatric disorders
MSMO1	Paediatric disorders
MSTO1	Paediatric disorders
MSX1	Paediatric disorders
MSX2	Paediatric disorders
MT-ATP6	Paediatric disorders
MT-ATP8	Paediatric disorders
MT-CO1	Paediatric disorders
MT-CO2	Paediatric disorders
MT-CO3	Paediatric disorders
MT-CYB	Paediatric disorders
MT-ND1	Paediatric disorders
MT-ND2	Paediatric disorders
MT-ND3	Paediatric disorders
MT-ND4	Paediatric disorders
MT-ND4L	Paediatric disorders
MT-ND5	Paediatric disorders
MT-ND6	Paediatric disorders
MT-RNR1	Paediatric disorders
MT-TA	Paediatric disorders
MT-TC	Paediatric disorders
MT-TD	Paediatric disorders
MT-TE	Paediatric disorders
MT-TF	Paediatric disorders
MT-TG	Paediatric disorders
MT-TH	Paediatric disorders
MT-TI	Paediatric disorders
MT-TK	Paediatric disorders
MT-TL1	Paediatric disorders
MT-TL2	Paediatric disorders
MT-TM	Paediatric disorders
MT-TN	Paediatric disorders
MT-TP	Paediatric disorders
MT-TQ	Paediatric disorders
MT-TR	Paediatric disorders
MT-TS1	Paediatric disorders
MT-TS2	Paediatric disorders
MT-TV	Paediatric disorders
MT-TW	Paediatric disorders
MT-TY	Paediatric disorders
MTFMT	Paediatric disorders
MTHFR	Paediatric disorders
MTM1	Paediatric disorders
MTO1	Paediatric disorders
MTOR	Paediatric disorders
MTPAP	Paediatric disorders
MTR	Paediatric disorders
MTRR	Paediatric disorders
MTTP	Paediatric disorders
MUT	Paediatric disorders
MVK	Paediatric disorders
MYCN	Paediatric disorders
MYH3	Paediatric disorders
MYH6	Paediatric disorders
MYH7	Paediatric disorders
MYH8	Paediatric disorders
MYH9	Paediatric disorders
MYMK	Paediatric disorders
MYO5A	Paediatric disorders
MYO5B	Paediatric disorders
MYO7A	Paediatric disorders
MYT1L	Paediatric disorders
NAA10	Paediatric disorders
NAA15	Paediatric disorders
NACC1	Paediatric disorders
NADK2	Paediatric disorders
NAGA	Paediatric disorders
NAGLU	Paediatric disorders
NAGS	Paediatric disorders
NALCN	Paediatric disorders
NANS	Paediatric disorders
NARS2	Paediatric disorders
NAXE	Paediatric disorders
NBAS	Paediatric disorders
NBEA	Paediatric disorders
NBN	Paediatric disorders
NDE1	Paediatric disorders
NDP	Paediatric disorders
NDST1	Paediatric disorders
NDUFA1	Paediatric disorders
NDUFA10	Paediatric disorders
NDUFA11	Paediatric disorders
NDUFA2	Paediatric disorders
NDUFA4	Paediatric disorders
NDUFA6	Paediatric disorders
NDUFA9	Paediatric disorders
NDUFAF1	Paediatric disorders
NDUFAF2	Paediatric disorders
NDUFAF3	Paediatric disorders
NDUFAF4	Paediatric disorders
NDUFAF5	Paediatric disorders
NDUFAF6	Paediatric disorders
NDUFAF8	Paediatric disorders
NDUFB11	Paediatric disorders
NDUFB3	Paediatric disorders
NDUFB8	Paediatric disorders
NDUFS1	Paediatric disorders
NDUFS2	Paediatric disorders
NDUFS3	Paediatric disorders
NDUFS4	Paediatric disorders
NDUFS6	Paediatric disorders
NDUFS7	Paediatric disorders
NDUFS8	Paediatric disorders
NDUFV1	Paediatric disorders
NDUFV2	Paediatric disorders
NEB	Paediatric disorders
NECTIN1	Paediatric disorders
NECTIN4	Paediatric disorders
NEDD4L	Paediatric disorders
NEK1	Paediatric disorders
NEK8	Paediatric disorders
NEU1	Paediatric disorders
NEXMIF	Paediatric disorders
NF1	Paediatric disorders
NFASC	Paediatric disorders
NFIA	Paediatric disorders
NFIX	Paediatric disorders
NFU1	Paediatric disorders
NGLY1	Paediatric disorders
NHLRC1	Paediatric disorders
NHS	Paediatric disorders
NIPBL	Paediatric disorders
NKAP	Paediatric disorders
NKX2-1	Paediatric disorders
NKX2-5	Paediatric disorders
NKX3-2	Paediatric disorders
NLGN3	Paediatric disorders
NLRP3	Paediatric disorders
NMNAT1	Paediatric disorders
NNT	Paediatric disorders
NODAL	Paediatric disorders
NOG	Paediatric disorders
NONO	Paediatric disorders
NOTCH1	Paediatric disorders
NOTCH2	Paediatric disorders
NPC1	Paediatric disorders
NPC2	Paediatric disorders
NPHP1	Paediatric disorders
NPHP3	Paediatric disorders
NPHP4	Paediatric disorders
NPHS1	Paediatric disorders
NPHS2	Paediatric disorders
NPR2	Paediatric disorders
NR2F1	Paediatric disorders
NR2F2	Paediatric disorders
NR5A1	Paediatric disorders
NRAS	Paediatric disorders
NRXN1	Paediatric disorders
NSD1	Paediatric disorders
NSD2	Paediatric disorders
NSDHL	Paediatric disorders
NSUN2	Paediatric disorders
NT5C2	Paediatric disorders
NT5C3A	Paediatric disorders
NTNG2	Paediatric disorders
NTRK1	Paediatric disorders
NTRK2	Paediatric disorders
NUBPL	Paediatric disorders
NUP107	Paediatric disorders
NXN	Paediatric disorders
NYX	Paediatric disorders
OAT	Paediatric disorders
OBSL1	Paediatric disorders
OCLN	Paediatric disorders
OCRL	Paediatric disorders
ODC1	Paediatric disorders
OFD1	Paediatric disorders
OGT	Paediatric disorders
OPA1	Paediatric disorders
OPA3	Paediatric disorders
OPHN1	Paediatric disorders
ORC1	Paediatric disorders
ORC4	Paediatric disorders
ORC6	Paediatric disorders
OSGEP	Paediatric disorders
OSTM1	Paediatric disorders
OTC	Paediatric disorders
OTOGL	Paediatric disorders
OTUD6B	Paediatric disorders
OTULIN	Paediatric disorders
OTX2	Paediatric disorders
OXCT1	Paediatric disorders
P3H1	Paediatric disorders
P4HB	Paediatric disorders
P4HTM	Paediatric disorders
PACS1	Paediatric disorders
PACS2	Paediatric disorders
PAFAH1B1	Paediatric disorders
PAH	Paediatric disorders
PAK1	Paediatric disorders
PAK3	Paediatric disorders
PALB2	Paediatric disorders
PANK2	Paediatric disorders
PAPSS2	Paediatric disorders
PARN	Paediatric disorders
PARS2	Paediatric disorders
PAX2	Paediatric disorders
PAX3	Paediatric disorders
PAX6	Paediatric disorders
PAX8	Paediatric disorders
PAX9	Paediatric disorders
PBX1	Paediatric disorders
PC	Paediatric disorders
PCBD1	Paediatric disorders
PCCA	Paediatric disorders
PCCB	Paediatric disorders
PCDH12	Paediatric disorders
PCDH19	Paediatric disorders
PCGF2	Paediatric disorders
PCK1	Paediatric disorders
PCNT	Paediatric disorders
PCSK9	Paediatric disorders
PCYT1A	Paediatric disorders
PCYT2	Paediatric disorders
PDCD10	Paediatric disorders
PDE3A	Paediatric disorders
PDE4D	Paediatric disorders
PDE6G	Paediatric disorders
PDGFRB	Paediatric disorders
PDHA1	Paediatric disorders
PDHB	Paediatric disorders
PDHX	Paediatric disorders
PDP1	Paediatric disorders
PDSS1	Paediatric disorders
PDSS2	Paediatric disorders
PEPD	Paediatric disorders
PET100	Paediatric disorders
PEX1	Paediatric disorders
PEX10	Paediatric disorders
PEX11B	Paediatric disorders
PEX12	Paediatric disorders
PEX13	Paediatric disorders
PEX14	Paediatric disorders
PEX16	Paediatric disorders
PEX19	Paediatric disorders
PEX2	Paediatric disorders
PEX26	Paediatric disorders
PEX3	Paediatric disorders
PEX5	Paediatric disorders
PEX6	Paediatric disorders
PEX7	Paediatric disorders
PFKM	Paediatric disorders
PGAM2	Paediatric disorders
PGAP1	Paediatric disorders
PGAP2	Paediatric disorders
PGAP3	Paediatric disorders
PGK1	Paediatric disorders
PGM1	Paediatric disorders
PGM3	Paediatric disorders
PHACTR1	Paediatric disorders
PHEX	Paediatric disorders
PHF21A	Paediatric disorders
PHF6	Paediatric disorders
PHF8	Paediatric disorders
PHGDH	Paediatric disorders
PHIP	Paediatric disorders
PHKA1	Paediatric disorders
PHKA2	Paediatric disorders
PHKB	Paediatric disorders
PHKG2	Paediatric disorders
PHOX2B	Paediatric disorders
PHYH	Paediatric disorders
PIEZO2	Paediatric disorders
PIGA	Paediatric disorders
PIGB	Paediatric disorders
PIGG	Paediatric disorders
PIGK	Paediatric disorders
PIGL	Paediatric disorders
PIGN	Paediatric disorders
PIGO	Paediatric disorders
PIGP	Paediatric disorders
PIGT	Paediatric disorders
PIGU	Paediatric disorders
PIGV	Paediatric disorders
PIGW	Paediatric disorders
PIK3C2A	Paediatric disorders
PIK3CA	Paediatric disorders
PIK3R1	Paediatric disorders
PIK3R2	Paediatric disorders
PINK1	Paediatric disorders
PITRM1	Paediatric disorders
PITX1	Paediatric disorders
PITX2	Paediatric disorders
PITX3	Paediatric disorders
PKD1	Paediatric disorders
PKD1L1	Paediatric disorders
PKD2	Paediatric disorders
PKHD1	Paediatric disorders
PLA2G6	Paediatric disorders
PLAA	Paediatric disorders
PLCB1	Paediatric disorders
PLCE1	Paediatric disorders
PLK4	Paediatric disorders
PLOD1	Paediatric disorders
PLOD2	Paediatric disorders
PLP1	Paediatric disorders
PLPBP	Paediatric disorders
PLS3	Paediatric disorders
PMM2	Paediatric disorders
PMPCA	Paediatric disorders
PMPCB	Paediatric disorders
PMS2	Paediatric disorders
PNKP	Paediatric disorders
PNP	Paediatric disorders
PNPLA6	Paediatric disorders
PNPLA8	Paediatric disorders
PNPO	Paediatric disorders
PNPT1	Paediatric disorders
POC1A	Paediatric disorders
POC1B	Paediatric disorders
POGZ	Paediatric disorders
POLA1	Paediatric disorders
POLD1	Paediatric disorders
POLG	Paediatric disorders
POLG2	Paediatric disorders
POLR1A	Paediatric disorders
POLR1C	Paediatric disorders
POLR1D	Paediatric disorders
POLR2A	Paediatric disorders
POLR3A	Paediatric disorders
POLR3B	Paediatric disorders
POMGNT1	Paediatric disorders
POMGNT2	Paediatric disorders
POMT1	Paediatric disorders
POMT2	Paediatric disorders
POP1	Paediatric disorders
POR	Paediatric disorders
PORCN	Paediatric disorders
POU1F1	Paediatric disorders
POU3F3	Paediatric disorders
PPA2	Paediatric disorders
PPIB	Paediatric disorders
PPM1D	Paediatric disorders
PPOX	Paediatric disorders
PPP1CB	Paediatric disorders
PPP1R15B	Paediatric disorders
PPP1R21	Paediatric disorders
PPP2CA	Paediatric disorders
PPP2R1A	Paediatric disorders
PPP2R5D	Paediatric disorders
PPP3CA	Paediatric disorders
PPT1	Paediatric disorders
PQBP1	Paediatric disorders
PRDM12	Paediatric disorders
PRKAG2	Paediatric disorders
PRKAR1A	Paediatric disorders
PRKD1	Paediatric disorders
PRMT7	Paediatric disorders
PRODH	Paediatric disorders
PROP1	Paediatric disorders
PRPS1	Paediatric disorders
PRR12	Paediatric disorders
PRRT2	Paediatric disorders
PRSS12	Paediatric disorders
PRSS56	Paediatric disorders
PRUNE1	Paediatric disorders
PSAP	Paediatric disorders
PSAT1	Paediatric disorders
PSMB8	Paediatric disorders
PSMD12	Paediatric disorders
PSPH	Paediatric disorders
PTCH1	Paediatric disorders
PTCHD1	Paediatric disorders
PTDSS1	Paediatric disorders
PTEN	Paediatric disorders
PTF1A	Paediatric disorders
PTH1R	Paediatric disorders
PTHLH	Paediatric disorders
PTPN11	Paediatric disorders
PTPN23	Paediatric disorders
PTRHD1	Paediatric disorders
PTS	Paediatric disorders
PUF60	Paediatric disorders
PUM1	Paediatric disorders
PURA	Paediatric disorders
PUS1	Paediatric disorders
PUS3	Paediatric disorders
PUS7	Paediatric disorders
PYCR1	Paediatric disorders
PYCR2	Paediatric disorders
PYGL	Paediatric disorders
PYGM	Paediatric disorders
QARS	Paediatric disorders
QDPR	Paediatric disorders
QRICH1	Paediatric disorders
QRSL1	Paediatric disorders
RAB11B	Paediatric disorders
RAB18	Paediatric disorders
RAB23	Paediatric disorders
RAB33B	Paediatric disorders
RAB39B	Paediatric disorders
RAB3GAP1	Paediatric disorders
RAB3GAP2	Paediatric disorders
RAC1	Paediatric disorders
RAC3	Paediatric disorders
RAD21	Paediatric disorders
RAF1	Paediatric disorders
RAI1	Paediatric disorders
RALA	Paediatric disorders
RALGAPA1	Paediatric disorders
RAPSN	Paediatric disorders
RARB	Paediatric disorders
RARS	Paediatric disorders
RARS2	Paediatric disorders
RASA1	Paediatric disorders
RASGRP2	Paediatric disorders
RAX	Paediatric disorders
RBBP8	Paediatric disorders
RBCK1	Paediatric disorders
RBM10	Paediatric disorders
RBM8A	Paediatric disorders
RBP4	Paediatric disorders
RBPJ	Paediatric disorders
RECQL4	Paediatric disorders
RELN	Paediatric disorders
RERE	Paediatric disorders
RET	Paediatric disorders
RETREG1	Paediatric disorders
RFT1	Paediatric disorders
RFX6	Paediatric disorders
RHOBTB2	Paediatric disorders
RIPK4	Paediatric disorders
RIT1	Paediatric disorders
RLIM	Paediatric disorders
RMND1	Paediatric disorders
RMRP	Paediatric disorders
RNASEH1	Paediatric disorders
RNASEH2A	Paediatric disorders
RNASEH2B	Paediatric disorders
RNASEH2C	Paediatric disorders
RNASET2	Paediatric disorders
RNF113A	Paediatric disorders
RNF125	Paediatric disorders
RNF13	Paediatric disorders
RNU4ATAC	Paediatric disorders
ROBO3	Paediatric disorders
ROGDI	Paediatric disorders
ROR2	Paediatric disorders
RORA	Paediatric disorders
RPE65	Paediatric disorders
RPGRIP1	Paediatric disorders
RPGRIP1L	Paediatric disorders
RPIA	Paediatric disorders
RPL10	Paediatric disorders
RPL11	Paediatric disorders
RPL13	Paediatric disorders
RPL35A	Paediatric disorders
RPL5	Paediatric disorders
RPS10	Paediatric disorders
RPS17	Paediatric disorders
RPS19	Paediatric disorders
RPS24	Paediatric disorders
RPS26	Paediatric disorders
RPS6KA3	Paediatric disorders
RPS7	Paediatric disorders
RRAS2	Paediatric disorders
RRM2B	Paediatric disorders
RSPH1	Paediatric disorders
RSPH3	Paediatric disorders
RSPO4	Paediatric disorders
RTEL1	Paediatric disorders
RTN4IP1	Paediatric disorders
RTTN	Paediatric disorders
RUNX2	Paediatric disorders
RYR1	Paediatric disorders
SACS	Paediatric disorders
SALL1	Paediatric disorders
SALL4	Paediatric disorders
SAMD9	Paediatric disorders
SAMHD1	Paediatric disorders
SAR1B	Paediatric disorders
SARS2	Paediatric disorders
SATB2	Paediatric disorders
SBDS	Paediatric disorders
SC5D	Paediatric disorders
SCAPER	Paediatric disorders
SCARF2	Paediatric disorders
SCLT1	Paediatric disorders
SCN11A	Paediatric disorders
SCN1A	Paediatric disorders
SCN1B	Paediatric disorders
SCN2A	Paediatric disorders
SCN3A	Paediatric disorders
SCN4A	Paediatric disorders
SCN8A	Paediatric disorders
SCO1	Paediatric disorders
SCO2	Paediatric disorders
SCP2	Paediatric disorders
SDCCAG8	Paediatric disorders
SDHA	Paediatric disorders
SDHAF1	Paediatric disorders
SDHB	Paediatric disorders
SDHD	Paediatric disorders
SEC23B	Paediatric disorders
SEC24D	Paediatric disorders
SEPSECS	Paediatric disorders
SEPT9	Paediatric disorders
SERAC1	Paediatric disorders
SERPINF1	Paediatric disorders
SERPINH1	Paediatric disorders
SET	Paediatric disorders
SETBP1	Paediatric disorders
SETD1B	Paediatric disorders
SETD2	Paediatric disorders
SETD5	Paediatric disorders
SETX	Paediatric disorders
SF3B4	Paediatric disorders
SFRP4	Paediatric disorders
SFXN4	Paediatric disorders
SGPL1	Paediatric disorders
SGSH	Paediatric disorders
SH3BP2	Paediatric disorders
SH3PXD2B	Paediatric disorders
SHANK2	Paediatric disorders
SHANK3	Paediatric disorders
SHH	Paediatric disorders
SHOC2	Paediatric disorders
SHOX	Paediatric disorders
SI	Paediatric disorders
SIK1	Paediatric disorders
SIL1	Paediatric disorders
SIM1	Paediatric disorders
SIN3A	Paediatric disorders
SIX1	Paediatric disorders
SIX3	Paediatric disorders
SIX5	Paediatric disorders
SKI	Paediatric disorders
SKIV2L	Paediatric disorders
SLC10A7	Paediatric disorders
SLC12A3	Paediatric disorders
SLC12A5	Paediatric disorders
SLC12A6	Paediatric disorders
SLC13A5	Paediatric disorders
SLC16A1	Paediatric disorders
SLC16A2	Paediatric disorders
SLC17A5	Paediatric disorders
SLC18A2	Paediatric disorders
SLC19A2	Paediatric disorders
SLC19A3	Paediatric disorders
SLC1A2	Paediatric disorders
SLC1A4	Paediatric disorders
SLC22A5	Paediatric disorders
SLC25A1	Paediatric disorders
SLC25A12	Paediatric disorders
SLC25A13	Paediatric disorders
SLC25A15	Paediatric disorders
SLC25A19	Paediatric disorders
SLC25A20	Paediatric disorders
SLC25A22	Paediatric disorders
SLC25A24	Paediatric disorders
SLC25A26	Paediatric disorders
SLC25A3	Paediatric disorders
SLC25A32	Paediatric disorders
SLC25A38	Paediatric disorders
SLC25A4	Paediatric disorders
SLC25A42	Paediatric disorders
SLC25A46	Paediatric disorders
SLC26A2	Paediatric disorders
SLC27A4	Paediatric disorders
SLC29A3	Paediatric disorders
SLC2A1	Paediatric disorders
SLC2A10	Paediatric disorders
SLC2A2	Paediatric disorders
SLC30A10	Paediatric disorders
SLC33A1	Paediatric disorders
SLC34A1	Paediatric disorders
SLC34A3	Paediatric disorders
SLC35A1	Paediatric disorders
SLC35A2	Paediatric disorders
SLC35C1	Paediatric disorders
SLC35D1	Paediatric disorders
SLC37A4	Paediatric disorders
SLC39A13	Paediatric disorders
SLC39A14	Paediatric disorders
SLC39A4	Paediatric disorders
SLC39A8	Paediatric disorders
SLC3A1	Paediatric disorders
SLC40A1	Paediatric disorders
SLC46A1	Paediatric disorders
SLC4A1	Paediatric disorders
SLC4A11	Paediatric disorders
SLC4A4	Paediatric disorders
SLC52A2	Paediatric disorders
SLC52A3	Paediatric disorders
SLC5A1	Paediatric disorders
SLC5A5	Paediatric disorders
SLC5A6	Paediatric disorders
SLC6A1	Paediatric disorders
SLC6A17	Paediatric disorders
SLC6A19	Paediatric disorders
SLC6A20	Paediatric disorders
SLC6A3	Paediatric disorders
SLC6A5	Paediatric disorders
SLC6A8	Paediatric disorders
SLC6A9	Paediatric disorders
SLC7A7	Paediatric disorders
SLC7A9	Paediatric disorders
SLC9A6	Paediatric disorders
SLCO2A1	Paediatric disorders
SLX4	Paediatric disorders
SMAD3	Paediatric disorders
SMAD4	Paediatric disorders
SMAD6	Paediatric disorders
SMARCA2	Paediatric disorders
SMARCA4	Paediatric disorders
SMARCAL1	Paediatric disorders
SMARCB1	Paediatric disorders
SMARCC2	Paediatric disorders
SMARCD1	Paediatric disorders
SMARCE1	Paediatric disorders
SMC1A	Paediatric disorders
SMC3	Paediatric disorders
SMCHD1	Paediatric disorders
SMO	Paediatric disorders
SMOC1	Paediatric disorders
SMPD1	Paediatric disorders
SMPD4	Paediatric disorders
SMS	Paediatric disorders
SNAP25	Paediatric disorders
SNAP29	Paediatric disorders
SNORD118	Paediatric disorders
SNRPB	Paediatric disorders
SNX10	Paediatric disorders
SNX14	Paediatric disorders
SNX27	Paediatric disorders
SON	Paediatric disorders
SOS1	Paediatric disorders
SOS2	Paediatric disorders
SOST	Paediatric disorders
SOX10	Paediatric disorders
SOX11	Paediatric disorders
SOX17	Paediatric disorders
SOX2	Paediatric disorders
SOX3	Paediatric disorders
SOX4	Paediatric disorders
SOX5	Paediatric disorders
SOX9	Paediatric disorders
SP7	Paediatric disorders
SPAG1	Paediatric disorders
SPARC	Paediatric disorders
SPART	Paediatric disorders
SPATA5	Paediatric disorders
SPECC1L	Paediatric disorders
SPEG	Paediatric disorders
SPG11	Paediatric disorders
SPG7	Paediatric disorders
SPR	Paediatric disorders
SPRED1	Paediatric disorders
SPTAN1	Paediatric disorders
SPTBN2	Paediatric disorders
SPTLC1	Paediatric disorders
SPTLC2	Paediatric disorders
SRCAP	Paediatric disorders
SRD5A3	Paediatric disorders
SRY	Paediatric disorders
SSBP1	Paediatric disorders
SSR4	Paediatric disorders
ST3GAL3	Paediatric disorders
ST3GAL5	Paediatric disorders
STAG1	Paediatric disorders
STAG2	Paediatric disorders
STAMBP	Paediatric disorders
STAR	Paediatric disorders
STIL	Paediatric disorders
STRA6	Paediatric disorders
STRADA	Paediatric disorders
STS	Paediatric disorders
STX1B	Paediatric disorders
STXBP1	Paediatric disorders
SUCLA2	Paediatric disorders
SUCLG1	Paediatric disorders
SUMF1	Paediatric disorders
SUOX	Paediatric disorders
SURF1	Paediatric disorders
SUZ12	Paediatric disorders
SVBP	Paediatric disorders
SYN1	Paediatric disorders
SYNE1	Paediatric disorders
SYNGAP1	Paediatric disorders
SYNJ1	Paediatric disorders
SYP	Paediatric disorders
SYT1	Paediatric disorders
SZT2	Paediatric disorders
TAB2	Paediatric disorders
TACO1	Paediatric disorders
TAF1	Paediatric disorders
TAF6	Paediatric disorders
TALDO1	Paediatric disorders
TANGO2	Paediatric disorders
TAOK1	Paediatric disorders
TAPT1	Paediatric disorders
TAT	Paediatric disorders
TAZ	Paediatric disorders
TBC1D20	Paediatric disorders
TBC1D23	Paediatric disorders
TBC1D24	Paediatric disorders
TBCD	Paediatric disorders
TBCE	Paediatric disorders
TBCK	Paediatric disorders
TBL1XR1	Paediatric disorders
TBR1	Paediatric disorders
TBX1	Paediatric disorders
TBX15	Paediatric disorders
TBX20	Paediatric disorders
TBX22	Paediatric disorders
TBX3	Paediatric disorders
TBX4	Paediatric disorders
TBX5	Paediatric disorders
TBX6	Paediatric disorders
TBXAS1	Paediatric disorders
TCF12	Paediatric disorders
TCF20	Paediatric disorders
TCF4	Paediatric disorders
TCIRG1	Paediatric disorders
TCN2	Paediatric disorders
TCOF1	Paediatric disorders
TCTEX1D2	Paediatric disorders
TCTN1	Paediatric disorders
TCTN2	Paediatric disorders
TCTN3	Paediatric disorders
TDP2	Paediatric disorders
TECPR2	Paediatric disorders
TEK	Paediatric disorders
TELO2	Paediatric disorders
TERT	Paediatric disorders
TFAP2A	Paediatric disorders
TFAP2B	Paediatric disorders
TFR2	Paediatric disorders
TGDS	Paediatric disorders
TGFB1	Paediatric disorders
TGFB2	Paediatric disorders
TGFB3	Paediatric disorders
TGFBR1	Paediatric disorders
TGFBR2	Paediatric disorders
TGIF1	Paediatric disorders
TH	Paediatric disorders
THAP1	Paediatric disorders
THOC2	Paediatric disorders
THOC6	Paediatric disorders
THRA	Paediatric disorders
TIMM50	Paediatric disorders
TIMM8A	Paediatric disorders
TINF2	Paediatric disorders
TK2	Paediatric disorders
TLK2	Paediatric disorders
TMCO1	Paediatric disorders
TMEM107	Paediatric disorders
TMEM126B	Paediatric disorders
TMEM138	Paediatric disorders
TMEM165	Paediatric disorders
TMEM199	Paediatric disorders
TMEM216	Paediatric disorders
TMEM231	Paediatric disorders
TMEM237	Paediatric disorders
TMEM240	Paediatric disorders
TMEM38B	Paediatric disorders
TMEM5	Paediatric disorders
TMEM67	Paediatric disorders
TMEM70	Paediatric disorders
TMEM94	Paediatric disorders
TMPRSS6	Paediatric disorders
TMTC3	Paediatric disorders
TMX2	Paediatric disorders
TNFRSF11A	Paediatric disorders
TNFRSF11B	Paediatric disorders
TNFSF11	Paediatric disorders
TOE1	Paediatric disorders
TOP3A	Paediatric disorders
TP63	Paediatric disorders
TPK1	Paediatric disorders
TPP1	Paediatric disorders
TRAF3IP1	Paediatric disorders
TRAF7	Paediatric disorders
TRAIP	Paediatric disorders
TRAP1	Paediatric disorders
TRAPPC12	Paediatric disorders
TRAPPC2	Paediatric disorders
TRAPPC4	Paediatric disorders
TRAPPC6B	Paediatric disorders
TRAPPC9	Paediatric disorders
TREM2	Paediatric disorders
TREX1	Paediatric disorders
TRIM32	Paediatric disorders
TRIM37	Paediatric disorders
TRIM8	Paediatric disorders
TRIO	Paediatric disorders
TRIP11	Paediatric disorders
TRIP12	Paediatric disorders
TRIT1	Paediatric disorders
TRMT1	Paediatric disorders
TRMT10A	Paediatric disorders
