entrez-gene-symbol	disease_name
PNPLA6	Ataxia and cerebellar anomalies - narrow panel
POLG	Ataxia and cerebellar anomalies - narrow panel
POLR3A	Ataxia and cerebellar anomalies - narrow panel
POMGNT1	Ataxia and cerebellar anomalies - narrow panel
POMGNT2	Ataxia and cerebellar anomalies - narrow panel
POMT1	Ataxia and cerebellar anomalies - narrow panel
POMT2	Ataxia and cerebellar anomalies - narrow panel
PPP2R2B	Ataxia and cerebellar anomalies - narrow panel
PRKCG	Ataxia and cerebellar anomalies - narrow panel
PRNP	Ataxia and cerebellar anomalies - narrow panel
PRRT2	Ataxia and cerebellar anomalies - narrow panel
PTF1A	Ataxia and cerebellar anomalies - narrow panel
RARS2	Ataxia and cerebellar anomalies - narrow panel
RELN	Ataxia and cerebellar anomalies - narrow panel
RNF170	Ataxia and cerebellar anomalies - narrow panel
RNF216	Ataxia and cerebellar anomalies - narrow panel
ROBO3	Ataxia and cerebellar anomalies - narrow panel
SACS	Ataxia and cerebellar anomalies - narrow panel
SAR1B	Ataxia and cerebellar anomalies - narrow panel
SEPSECS	Ataxia and cerebellar anomalies - narrow panel
SETX	Ataxia and cerebellar anomalies - narrow panel
SIL1	Ataxia and cerebellar anomalies - narrow panel
SLC1A3	Ataxia and cerebellar anomalies - narrow panel
SLC2A1	Ataxia and cerebellar anomalies - narrow panel
SLC9A6	Ataxia and cerebellar anomalies - narrow panel
SNX14	Ataxia and cerebellar anomalies - narrow panel
SPG7	Ataxia and cerebellar anomalies - narrow panel
SPTBN2	Ataxia and cerebellar anomalies - narrow panel
SRD5A3	Ataxia and cerebellar anomalies - narrow panel
STUB1	Ataxia and cerebellar anomalies - narrow panel
SYNE1	Ataxia and cerebellar anomalies - narrow panel
TBP	Ataxia and cerebellar anomalies - narrow panel
TGM6	Ataxia and cerebellar anomalies - narrow panel
TINF2	Ataxia and cerebellar anomalies - narrow panel
TMEM240	Ataxia and cerebellar anomalies - narrow panel
TMEM5	Ataxia and cerebellar anomalies - narrow panel
TOE1	Ataxia and cerebellar anomalies - narrow panel
TPP1	Ataxia and cerebellar anomalies - narrow panel
TSEN2	Ataxia and cerebellar anomalies - narrow panel
TSEN34	Ataxia and cerebellar anomalies - narrow panel
TSEN54	Ataxia and cerebellar anomalies - narrow panel
TTBK2	Ataxia and cerebellar anomalies - narrow panel
TTC19	Ataxia and cerebellar anomalies - narrow panel
TTPA	Ataxia and cerebellar anomalies - narrow panel
TUBA1A	Ataxia and cerebellar anomalies - narrow panel
TUBB2B	Ataxia and cerebellar anomalies - narrow panel
TUBB3	Ataxia and cerebellar anomalies - narrow panel
TUBB4A	Ataxia and cerebellar anomalies - narrow panel
TWNK	Ataxia and cerebellar anomalies - narrow panel
VLDLR	Ataxia and cerebellar anomalies - narrow panel
VPS13D	Ataxia and cerebellar anomalies - narrow panel
VRK1	Ataxia and cerebellar anomalies - narrow panel
WDR73	Ataxia and cerebellar anomalies - narrow panel
WDR81	Ataxia and cerebellar anomalies - narrow panel
WFS1	Ataxia and cerebellar anomalies - narrow panel
WWOX	Ataxia and cerebellar anomalies - narrow panel
AHI1	Rare multisystem ciliopathy Super panel
ALMS1	Rare multisystem ciliopathy Super panel
ANKS6	Rare multisystem ciliopathy Super panel
ARL13B	Rare multisystem ciliopathy Super panel
ARL6	Rare multisystem ciliopathy Super panel
ARMC9	Rare multisystem ciliopathy Super panel
B9D2	Rare multisystem ciliopathy Super panel
BBS1	Rare multisystem ciliopathy Super panel
BBS10	Rare multisystem ciliopathy Super panel
BBS12	Rare multisystem ciliopathy Super panel
BBS2	Rare multisystem ciliopathy Super panel
